	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	f_name
42	Berufe in der Chemie- und Pharmatechnik	26.7838353922	4131	41312	73.2161646078	179627.0	Produktionsfachkraft Chemie	
43	Berufe im Dialogmarketing	60.0417870759	9212	92122	39.9582129241	147414.0	Servicefachkraft für Dialogmarketing	
44	Berufe in der Bauelektrik	1.46126422781	2621	26212	98.5387357722	224121.0	Elektrofachkraft für festgelegte Tätigkeiten	
45	Berufe Bauplanung Verkehrswege, -anlagen	22.2411347518	3113	31132	77.7588652482	3525.0	Fachkraft für Straßen- und Verkehrstechnik	
46	Bus-, Straßenbahnfahrer/innen	11.6309063196	5213	52132	88.3690936804	119406.0	Fachkraft im Fahrbetrieb	
47	Berufe Sozialverwaltung, versicherung	76.9933233157	7321	73214	23.0066766843	129106.0	Aufsichtsperson	
48	Rechtsberatung,-sprechung,-ordnung (ssT)	57.9327818764	7318	73183	42.0672181236	26838.0	Rechtsbeistand	
49	Berufe Wasserversorgung,Abwassertechnik	3.55635707845	3431	34312	96.4436429216	27725.0	Fachkraft für Abwassertechnik	
50	Berufe i.d. spanenden Metallbearbeitung	2.73770282356	2423	24233	97.2622971764	195675.0	CNC-Fachkraft	
51	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Elektrogerätefachkraft	
52	Büro- und Sekretariatskräfte (o.S.)	79.4443583916	7140	71402	20.5556416084	1969075.0	Bürokraft	
53	Berufe in der Süßwarenherstellung	57.6938758868	2926	29262	42.3061241132	12263.0	Fachkraft für Süßwarentechnik	
54	Kaufleute im Automatenservice	31.1041666667	6114	61142	68.8958333333	4800.0	Fachkraft für Automatenservice	
55	Berufe in der Hauswirtschaft	93.6919095072	8321	83212	6.30809049281	190866.0	Haushälter	Haushälterin
56	Betriebsinterne Wahlämter	32.0429252782	7123	71234	67.9570747218	12580.0	Gleichstellungsbeauftragter	Gleichstellungsbeauftragte
57	Berufe Geburtshilfe, Entbindungspflege	99.8431372549	8135	81353	0.156862745098	10200.0	Entbindungspfleger	Hebamme
58	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81301	15.0403278222	807755.0	Pflegediensthelfer	Schwesternhelferin
59	Berufe in der Hauswirtschaft	93.6919095072	8321	83212	6.30809049281	190866.0	Beschließer	Beschließerin
60	Berufe Geburtshilfe, Entbindungspflege	99.8431372549	8135	81353	0.156862745098	10200.0	Belegentbindungspfleger	Beleghebamme
61	Berufe Polsterei, Fahrzeuginnenausstat.	44.4552466135	2824	28242	55.5447533865	15429.0	Fahrzeuginnenausstatter	Fahrzeuginnenausstatterin
62	Berufe in der Jagdwirtschaft, Wildhege	9.27835051546	1173	11732	90.7216494845	388.0	Jäger	Jägerin
63	Berufe für Post- und Zustelldienste	47.8940392206	5132	51321	52.1059607794	205963.0	Zusteller	Zustellerin
64	Berufe in der Jagdwirtschaft, Wildhege	9.27835051546	1173	11732	90.7216494845	388.0	Revierjäger	Revierjägerin
65	Rechtsberatung,-sprechung,-ordnung (ssT)	57.9327818764	7318	73184	42.0672181236	26838.0	Justiziar	Justiziarin
66	Berufe in der Mikrosystemtechnik	28.2151300236	2632	26322	71.7848699764	8460.0	Mikrotechnologe	Mikrotechnologin
67	Berufe nichtärztl. Therapie,Heilk.(ssT)	70.7986541526	8178	81782	29.2013458474	5647.0	Saunameister	Saunameisterin
68	Berufe in der Elektrotechnik (o.S.)	25.5998730188	2630	26304	74.4001269812	220505.0	Elektroniker	Elektronikerin
69	BerufeSchauspielTanz,Bewegungskunst(ssT)	41.5165165165	9428	94283	58.4834834835	1332.0	Komparse	Komparsin
70	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Schneidwerkzeugmechaniker	Schneidwerkzeugmechanikerin
71	Berufe Grafik-Kommunikations-,Fotodesign	48.9152458611	2322	23222	51.0847541389	40470.0	Designer	Designerin
72	Berufe in der Metallumformung	10.2560891616	2412	24122	89.7439108384	31942.0	Kabeljungwerker	Kabeljungwerkerin
73	Zauberer/innen, Illusionisten/innen	19.2592592593	9432	94323	80.7407407407	135.0	Illusionist	Illusionistin
74	Berufe in der Politologie	46.213592233	9131	91314	53.786407767	3090.0	Referent	Referentin
75	Aufsicht und Führung - Gastronomie	46.9442078365	6339	63394	53.0557921635	18784.0	Gastwirt	Gastwirtin
76	Nautische Schiffsoffiziere und Kapitäne	4.49203447375	5241	52413	95.5079655262	3829.0	Skipper	Skipperin
77	Piloten und Verkehrsflugzeugführer	6.46539170954	5231	52314	93.5346082905	10301.0	Chefpilot	Chefpilotin
78	Berufe i.d. Energie-, Kraftwerkstechnik	6.16331126919	2623	26233	93.8366887308	36409.0	Kraftwerker	Kraftwerkerin
79	Berufe in der Altenpflege (o.S.)	85.0894719246	8210	82102	14.9105280754	502504.0	Altenpfleger	Altenpflegerin
80	Berufe in der Softwareentwicklung	12.3967931919	4341	43412	87.6032068081	141948.0	Mathematisch-technischer Assistent	Mathematisch-technische Assistentin
81	Berufe in der Luft- und Raumfahrttechnik	7.47075732134	2523	25234	92.5292426787	35137.0	Ingenieur	Ingenieurin
82	Aufsicht-Veranstaltungs-Kamera-,Tontech.	19.2571659265	9459	94593	80.7428340735	2477.0	Beleuchtungsmeister	Beleuchtungsmeisterin
83	Berufe Theater-,Film-,Fernsehproduk.(oS)	51.4743851067	9440	94404	48.5256148933	7359.0	Dramaturg	Dramaturgin
84	Zahnmedizinische Fachangestellte	99.4084063138	8111	81112	0.591593686223	193545.0	Zahnmedizinischer Fachangestellter	Zahnmedizinische Fachangestellte
85	Berufe in der Softwareentwicklung	12.3967931919	4341	43414	87.6032068081	141948.0	Softwareentwickler	Softwareentwicklerin
86	Berufe in der Personaldienstleistung	66.3964145433	7152	71524	33.6035854567	99290.0	Personalreferent	Personalreferentin
87	Berufe Garten-,Landschafts,Sportplatzbau	13.8494826824	1214	12144	86.1505173176	65627.0	Landschaftsarchitekt	Landschaftsarchitektin
88	Berufe in Geschichtswissenschaften	49.6703296703	9122	91224	50.3296703297	910.0	Historiker	Historikerin
89	Musik-,Gesangs-, Dirigententätigk. (ssT)	35.5086372361	9418	94184	64.4913627639	521.0	Korrepetitor	Korrepetitorin
90	Reiseleiter/innen, Fremdenführer/innen	58.0346820809	6314	63143	41.9653179191	1730.0	Fremdenführer	Fremdenführerin
91	Reiseleiter/innen, Fremdenführer/innen	58.0346820809	6314	63142	41.9653179191	1730.0	Reiseleiter	Reiseleiterin
92	Zahnärzte/innen, Kieferorthopäden/innen	66.0346097202	8147	81474	33.9653902798	16296.0	Fachzahnarzt	Fachzahnärztin
93	Richter/innen	38.4615384615	7315	73154	61.5384615385	39.0	Richter	Richterin
94	Tech.ServicekräfteWartung,Instandhaltung	4.12407074143	2513	25132	95.8759292586	212266.0	Automateneinrichter	Automateneinrichterin
95	Berufe in der Regie	50.9119332986	9441	94414	49.0880667014	1919.0	Regisseur	Regisseurin
96	Versicherungskaufleute	53.568518232	7213	72132	46.431481768	193890.0	Versicherungsfachmann	Versicherungsfachfrau
97	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92414	49.4391584587	71678.0	Kunstkritiker	Kunstkritikerin
98	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Schriftsteller	Schriftstellerin
99	Berufe im Bestattungswesen	26.2594161959	8240	82402	73.7405838041	8496.0	Bestatter	Bestatterin
100	Berufe i.d. medizinischen Dokumentation	85.1895119418	7334	73342	14.8104880582	7704.0	Medizinischer Dokumentar	Medizinische Dokumentarin
101	Sänger/innen	48.1166205576	9412	94124	51.8833794424	4699.0	Sänger	Sängerin
102	Berufe i.d. Sozialarbeit,Sozialpädagogik	74.9556154125	8312	83124	25.0443845875	278813.0	Bewährungshelfer	Bewährungshelferin
103	Berufe Museums- und Ausstellungstechnik	45.4646222058	9471	94714	54.5353777942	5413.0	Konservator	Konservatorin
104	Berufe i.d. spanlosen Metallbearbeitung	12.937104197	2421	24212	87.062895803	25423.0	Federmacher	Federmacherin
105	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81301	15.0403278222	807755.0	Gesundheits- und Krankenpflegehelfer	Gesundheits- und Krankenpflegehelferin
106	Berufe in der Maskenbildnerei	90.6659674882	8234	82342	9.3340325118	1907.0	Maskenbildner	Maskenbildnerin
107	Versicherungskaufleute	53.568518232	7213	72134	46.431481768	193890.0	Versicherungsberater	Versicherungsberaterin
108	Berufe im Facility-Management	27.9733089101	6132	61323	72.0266910899	7643.0	Kastellan	Kastellanin
109	Berufe in der Milchproduktherstellung	19.3915241058	2925	29252	80.6084758942	10288.0	Speiseeishersteller	Speiseeisherstellerin
110	Berufe in der Süßwarenherstellung	57.6938758868	2926	29262	42.3061241132	12263.0	Süßwarentechnologe	Süßwarentechnologin
111	Berufe physikalisch-techn. Laboratorium	32.4723846654	4141	41412	67.5276153346	6156.0	Physikalisch-technischer Assistent	Physikalisch-technische Assistentin
112	Berufe i. d. Hochschullehre, -forschung	42.812488391	8430	84304	57.187511609	188431.0	Privatdozent	Privatdozentin
113	Büro- und Sekretariatskräfte (o.S.)	79.4443583916	7140	71401	20.5556416084	1969075.0	Datentypist	Datentypistin
114	Berufe in der Werkstofftechnik	19.3917391602	4142	41422	80.6082608398	14599.0	Edelmetallprüfer	Edelmetallprüferin
115	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Netzelektriker	Netzelektrikerin
116	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Systeminformatiker	Systeminformatikerin
117	Berufe im Kunst- und Antiquitätenhandel	70.4447632712	6252	62522	29.5552367288	697.0	Galerist	Galeristin
118	Berufe kunsthandwerkl. Metallgestaltung	14.0532544379	9351	93512	85.9467455621	676.0	Kunstschmied	Kunstschmiedin
119	Berufe im Bereich Glücks- und Wettspiel	18.8318693173	9434	94342	81.1681306827	6489.0	Schausteller	Schaustellerin
120	Bankkaufleute	59.7982510844	7211	72113	40.2017489156	501911.0	Fachwirt	Fachwirtin
121	Aufsicht und Führung - Gastronomie	46.9442078365	6339	63393	53.0557921635	18784.0	Restaurantmeister	Restaurantmeisterin
122	Weinküfer/innen	12.1335504886	2912	29122	87.8664495114	1228.0	Weinküfer	Weinküferin
123	Berufe Drechslerei, Spielzeugherstellung	60.4	9333	93332	39.6	750.0	Drechsler	Drechslerin
124	Aufsicht - Hochbau	1.0979692033	3219	32193	98.9020307967	22405.0	Werkpolier	Werkpolierin
125	Berufe in Theologie,Gemeindearbeit (ssT)	67.8608515057	8338	83384	32.1391484943	15408.0	Missionar	Missionarin
126	Büro- und Sekretariatskräfte (o.S.)	79.4443583916	7140	71402	20.5556416084	1969075.0	Fachangestellter für Bürokommunikation	Fachangestellte für Bürokommunikation
127	Führer Erdbewegungs-,verwandte Maschinen	0.2800140007	5252	52522	99.7199859993	48569.0	Baugeräteführer	Baugeräteführerin
128	Sport-, Fitnesskaufleute, Sportmanager	45.0848688391	6312	63122	54.9151311609	11017.0	Sport- und Fitnesskaufmann	Sport- und Fitnesskauffrau
129	Köche/Köchinnen (s.s.T.)	56.8326947637	2938	29382	43.1673052363	1566.0	Diätkoch	Diätköchin
130	Berufe in der Erziehungswissenschaft	74.5593544277	9133	91334	25.4406455723	37672.0	Pädagoge	Pädagogin
131	Industriekeramik (Modelltechnik)	16.735966736	2142	21422	83.264033264	962.0	Industriekeramiker Modelltechnik	Industriekeramikerin Modelltechnik
132	Berufe Buchbinderei, Druckweiterverarb.	36.6999465145	2342	23422	63.3000534855	11218.0	Medientechnologe Druckverarbeitung	Medientechnologin Druckverarbeitung
133	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Former	Formerin
134	Berufe im chemisch-techn. Laboratorium	59.1680426246	4132	41322	40.8319573754	72071.0	Chemielaborjungwerker	Chemielaborjungwerkerin
135	Rechtsberatung, -sprechung und -ordnung	75.0484007466	731	73144	24.9515992534	172518.0	Staatsanwalt	Staatsanwältin
136	Berufe im Gastronomieservice (o.S.)	65.2648305355	6330	63302	34.7351694645	391439.0	Restaurantfachmann	Restaurantfachfrau
137	Nautische Schiffsoffiziere und Kapitäne	4.49203447375	5241	52413	95.5079655262	3829.0	Steuermann	Steuerfrau
138	Berufe in der Physik (s.s.T.)	13.6886395512	4148	41484	86.3113604488	7130.0	Astronom	Astronomin
139	Berufe im Veranstaltungsservice,-manag.	58.3260838046	6340	63402	41.6739161954	27588.0	Veranstaltungskaufmann	Veranstaltungskauffrau
140	Berufe in Moderation, Unterhaltung (oS)	48.0295566502	9430	94303	51.9704433498	406.0	Conférencier	Conférencieuse
141	Obj.Pers.Brandschutz,Arbeitssicherh(ssT)	37.7005047672	5318	53182	62.2994952328	8915.0	Hundeführer	Hundeführerin
142	Berufe Sattlerei, Herst. Lederutensilien	48.3291210334	2832	28322	51.6708789666	3561.0	Sattler	Sattlerin
143	Berufe im Justizvollzugsdienst	33.389261745	5324	53241	66.610738255	2384.0	Justizwachtmeister	Justizwachtmeisterin
144	Berufe in der Pelzbe- und -verarbeitung	65.6862745098	2834	28342	34.3137254902	306.0	Pelzveredler	Pelzveredlerin
145	Musik-,Gesangs-, Dirigententätigk. (ssT)	35.5086372361	9418	94184	64.4913627639	521.0	Ballettrepetitor	Ballettrepetitorin
146	Berufe Sozialverwaltung, versicherung	76.9933233157	7321	73212	23.0066766843	129106.0	Fachangestellter für Arbeitsmarktdienstleistungen	Fachangestellte für Arbeitsmarktdienstleistungen
147	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Schriftgießer	Schriftgießerin
148	Steno-, Phonotypisten/-typistinnen	96.8458793206	7143	71432	3.1541206794	60524.0	Stenotypist	Stenotypistin
149	Berufe im Modellbau	10.0019805902	2723	27232	89.9980194098	10098.0	Biologiemodellmacher	Biologiemodellmacherin
150	Trainer/innen - Fitness und Gymnastik	57.8800147221	8455	84553	42.1199852779	13585.0	Yogalehrer	Yogalehrerin
151	Berufe im biologisch-techn. Laboratorium	73.2942168505	4121	41212	26.7057831495	28462.0	Biologisch-technischer Assistent	Biologisch-technische Assistentin
152	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Systemelektroniker	Systemelektronikerin
153	Berufe in der Isolierung	1.2101210121	3331	33312	98.7898789879	11817.0	Industrie-Isolierer	Industrie-Isoliererin
154	Berufe Drechslerei, Spielzeugherstellung	60.4	9333	93332	39.6	750.0	Holzspielzeugmacher	Holzspielzeugmacherin
155	Berufe in der Automatisierungstechnik	6.35842667361	2612	26122	93.6415733264	38390.0	Prozessleitelektroniker	Prozessleitelektronikerin
156	Aufsicht,Führung - Getränkeherstellung	4.35766836446	2919	29193	95.6423316355	1767.0	Kellermeister	Kellermeisterin
157	Berufe in der Physik (s.s.T.)	13.6886395512	4148	41484	86.3113604488	7130.0	Astrophysiker	Astrophysikerin
158	Aufsicht - Büro und Sekretariat	70.9926383282	7149	71493	29.0073616718	16844.0	Büroleiter	Büroleiterin
159	Berufe in der Nutztierhaltung	43.2111947848	1121	11212	56.7888052152	17794.0	Zootechniker	Zootechnikerin
160	Berufe i.d. Kinderbetreuung, -erziehung	91.0178488053	8311	83112	8.9821511947	732486.0	Erzieher	Erzieherin
161	Berufe im biologisch-techn. Laboratorium	73.2942168505	4121	41212	26.7057831495	28462.0	Biologielaborant	Biologielaborantin
162	Berufe in der Informatik (o.S.)	16.2154269235	4310	43103	83.7845730765	164362.0	Informatiker	Informatikerin
163	FlechtwerkgestalterBürsten-,Pinselmacher	59.0717299578	2235	22352	40.9282700422	1659.0	Flechtwerkgestalter	Flechtwerkgestalterin
164	Aufsicht,Führung-Unternehmensorg,strateg	25.9924816691	7139	71393	74.0075183309	451696.0	Gruppenleiter	Gruppenleiterin
165	Berufe Datenbankentwickl., -administr.	23.924239907	4335	43353	76.075760093	6019.0	Datenbankadministrator	Datenbankadministratorin
166	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Kernmacher	Kernmacherin
167	Trainer/innen - Ballsportarten	7.80452224654	8454	84543	92.1954777535	1371.0	Fußballtrainer	Fußballtrainerin
168	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Redenschreiber	Redenschreiberin
169	Berufe im Kanal- und Tunnelbau	0.544182430682	3225	32252	99.4558175693	3859.0	Kanalbauer	Kanalbauerin
170	Berufe in der Textilherstellung	34.0723731095	2812	28122	65.9276268905	12629.0	Weber	Weberin
171	Berufe Naturstein-,Mineralaufbereitung	4.23446184942	2121	21212	95.7655381506	9895.0	Naturwerksteinmechaniker	Naturwerksteinmechanikerin
172	Berufe im Maurerhandwerk	0.209680237638	3212	32122	99.7903197624	97291.0	Maurer	Maurerin
173	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92414	49.4391584587	71678.0	Reporter	Reporterin
174	Zahnmedizinische Fachangestellte	99.4084063138	8111	81113	0.591593686223	193545.0	Zahnmedizinischer Prophylaxeassistent	Zahnmedizinische Prophylaxeassistentin
175	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Informationselektroniker	Informationselektronikerin
176	Berufe kaufm.,techn.Betriebswirtsch.(oS)	62.1600224791	7130	71302	37.8399775209	935981.0	Sachbearbeiter	Sachbearbeiterin
177	Berufe i.d. spanlosen Metallbearbeitung	12.937104197	2421	24212	87.062895803	25423.0	Drahtwarenmacher	Drahtwarenmacherin
178	Berufe im Verkauf (ohne Produktspezial.)	74.4604823678	6210	62102	25.5395176322	964658.0	Verkäufer	Verkäuferin
179	Berufe im Verkauf von Fleischwaren	92.3912445691	6232	62322	7.6087554309	72732.0	Fachverkäufer im Lebensmittelhandwerk (Fleischerei)	Fachverkäuferin im Lebensmittelhandwerk (Fleischerei)
180	Lehrkräfte in der Sekundarstufe	70.4238331399	8412	84124	29.5761668601	142155.0	Lehrer	Lehrerin
181	Berufe in der industriellen Glasbläserei	26.8707482993	2133	21332	73.1292517007	294.0	Leuchtröhrenglasbläser	Leuchtröhrenglasbläserin
182	Berufe in der Tierpflege (o.S.)	46.9706787624	1150	11502	53.0293212376	12346.0	Tierpfleger	Tierpflegerin
183	Berufe im Streich-, Zupfinstrumentenbau	29.8076923077	9361	93612	70.1923076923	416.0	Zupfinstrumentenmacher	Zupfinstrumentenmacherin
184	Berufe operations-/med.-techn. Assistenz	77.7285201604	8133	81332	22.2714798396	9474.0	Operationstechnischer Assistent	Operationstechnische Assistentin
185	Technische Konfektionäre, Segelmacher	54.8604292327	2823	28232	45.1395707673	7129.0	Segelmacher	Segelmacherin
186	Servicefachkräfte im Luftverkehr	78.2033652524	5142	51422	21.7966347476	39997.0	Servicekaufmann im Luftverkehr	Servicekauffrau im Luftverkehr
187	Berufe in der Heilkunde und Homöopathie	76.6557645135	8175	81752	23.3442354865	2446.0	Heilpraktiker	Heilpraktikerin
188	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Goldschläger	Goldschlägerin
189	Berufe Estrich- und Terrazzoverlegung	0.557103064067	3312	33122	99.4428969359	4308.0	Estrichleger	Estrichlegerin
190	Komiker/innen, Kabarettisten/innen	54.5454545455	9431	94313	45.4545454545	33.0	Komiker	Komikerin
191	Berufe im Tiefbau (o.S.)	2.56153858974	3220	32202	97.4384614103	60003.0	Spezialtiefbauer	Spezialtiefbauerin
192	Grill-, Braten- u. Fischköche/-köchinnen	37.0960187354	2932	29322	62.9039812646	2135.0	Rotisseur	Rotisseurin
193	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Industrieelektriker	Industrieelektrikerin
194	Assistenz Rechtsanwaltskanzlei,Notariat	94.3062952197	7311	73112	5.69370478029	94262.0	Patentanwaltsfachangestellter	Patentanwaltsfachangestellte
195	Berufe in der Bild- und Tontechnik	26.5236833389	9453	94533	73.4763166611	12076.0	Tontechniker	Tontechnikerin
196	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Industrieelektroniker	Industrieelektronikerin
197	Verkauf drogerie-,apothekenübliche Waren	96.3538976351	6241	62412	3.64610236486	89054.0	Pharmazeutisch-kaufmännischer Angestellter	Pharmazeutisch-kaufmännische Angestellte
198	Dirigenten/Dirigentinnen	27.8372591006	9413	94134	72.1627408994	934.0	Ensembleleiter	Ensembleleiterin
199	Bankkaufleute	59.7982510844	7211	72112	40.2017489156	501911.0	Sparkassenkaufmann	Sparkassenkauffrau
200	Berufe in der Schiffbautechnik	6.19822907741	2524	25244	93.8017709226	3501.0	Schiffbauingenieur	Schiffbauingenieurin
201	Berufe in der Steuerberatung	76.2525479477	7230	72304	23.7474520523	172688.0	Steuerbevollmächtigter	Steuerbevollmächtigte
202	Aufsicht,Führung-Unternehmensorg,strateg	25.9924816691	7139	71394	74.0075183309	451696.0	Teamleiter	Teamleiterin
203	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Facharbeiter für Fertigungsmittel	Facharbeiterin für Fertigungsmittel
204	Berufe technisch. Schiffsverkehrsbetrieb	3.8146208153	5113	51132	96.1853791847	8782.0	Matrose	Matrosin
205	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Nachrichtengerätemechaniker	Nachrichtengerätemechanikerin
206	Schornsteinfeger/innen	8.08986148295	4221	42212	91.9101385171	8591.0	Schornsteinfeger	Schornsteinfegerin
207	Angehörige geistl. Orden, Mutterhäuser	62.5711035267	8333	83333	37.4288964733	879.0	Abt	Äbtissin
208	Berufe im Kundenmanagement	43.2484932485	9213	92133	56.7515067515	95238.0	Account-Manager	Account-Managerin
209	Berufe im Beton- und Stahlbetonbau	0.723795907426	3211	32112	99.2762040926	33573.0	Schalungsbauer	Schalungsbauerin
210	Servicefachkräfte Straßen-,Schienenverk.	54.3373493976	5141	51412	45.6626506024	14110.0	Kaufmann für Verkehrsservice	Kauffrau für Verkehrsservice
211	Berufe in der Steuerberatung	76.2525479477	7230	72304	23.7474520523	172688.0	Steuerberater	Steuerberaterin
212	Berufe in der Bild- und Tontechnik	26.5236833389	9453	94534	73.4763166611	12076.0	Toningenieur	Toningenieurin
